"Day","Sales","Trading Profit","Operating Expense","Net Profit"
45,27355593,11809131,3524520,8284611
46,27501674,11880662,3589094,8291568
47,28262191,12150422,3685146,8465276
48,29968443,12562598,3794089,8768509
49,30054070,12618237,3923721,8694516
50,30160611,12693804,4105554,8588250
