"Day","Sales","Trading Profit","Operating Expense","Net Profit"
40,17970745,10468167,3610490,6857677
41,18250485,10687939,3745159,6942780
42,18559503,10914112,3862496,7051616
43,18979106,11230971,3968781,7262190
44,19256618,11405487,4060645,7344842
45,20561058,11811708,4137776,7673932
46,20880823,12026903,4216534,7810369
47,21906029,12356852,4374907,7981945
48,22152912,12540238,4453064,8087174
49,22454797,12798120,4533192,8264928
50,22681769,12980459,4626360,8354099
